"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda","MBM_BIC","MBM_beta","MBM_alpha"
"iDh62P2wg6ao1dSUAACk","Level2",380.666248977032,390.98261956727,390.879195804023,0.99,0.99,0.99,0.99,390.687519565225,3.656105689681,0,338.396986564238,0.0664084910570983,0.0206460129729207,389.284536199039,369.241995022654,1.23463880342002,0.119464126155656,0.997344507231015,0.0100787593335932,380.666248977032,385.676884271128,3.18276305750501e-16,385.676884271128,3.22044640226483e-16,350.491242686833,0.756000366050273,0.88774024923825
"vuzUzEEiYLwXW9x9AAAO","Level1",380.666248977032,388.312718950981,387.543220726144,0.0187341692867478,0.0561239603053712,0.899652225212897,0.886750473168899,390.687519565225,9.84190870132788,0,366.990090507021,0.15943904602122,0.0619722536758661,396.405961894312,376.363420717927,0.104443264668654,0.999999999997115,0.0100000000158743,0.227973963730143,379.821591940275,384.832227234372,0.302840759700038,380.301508728133,0.576798454451947,375.968850532865,1.61102307843516,0.452923392260304
"7UidQyU1y52UvfhMAACo","Level2",380.666248977032,352.931792085006,357.094179240336,0.0102075049998414,0.0323060695381545,0.584952186058994,0.616289668176146,390.687519565225,4.14774348805712,0,355.219790912673,0.155704695349571,0.079316579482313,399.645724004608,379.603182828223,1.19073281614177,0.286127033579205,0.999999924760571,0.0100000334438958,380.666248977032,385.676884271128,3.8896699022684e-16,374.552940358675,1.0331860865942,363.911505103856,1.31334230631265,0.282264976101199
"E8kPvIi6RmunS_t2AAAu","Level2",380.666248977032,326.130541518107,331.82983083957,0.0137542925366235,0.0367015311516284,0.493254312862692,0.515398199902094,390.687418235562,3.78635307574318,0.00144926478267205,305.423399134801,0.523640018564551,0.572897789853094,400.640075558158,380.597534381773,1.03715975251104,0.0100000010134714,0.289115514666041,0.0100000049721694,380.666248977032,385.676884271128,4.09702989634786e-16,324.583169168512,2.06495717665382,301.406552913186,0.748986147378109,0.516482123362231
"Hg433PNmJWz9FixvAACM","Level2",380.666248977032,361.669724187297,362.422043603421,0.0237516966269469,0.0493689096742971,0.674819459622172,0.66498751611558,388.565247859784,0.0389468956500308,0.00311440678945025,356.242869272825,0.484282798736892,0.341137560977732,395.516656225726,375.474115049341,1.03621682754061,0.58920219195024,0.957311620854456,1.33380872276925,380.666248977032,385.676884271128,3.52366922541152e-16,360.452281747708,1.59257855854905,361.622528297827,1.27863168609071,0.0773670896125623
"zPmO4kt4wkjme_W5AABq","Level2",380.666248977032,388.893379700266,388.672515141659,0.202412193332467,0.160526287911653,0.929454536457251,0.921378986525771,390.687519565225,5.02014190999012,0,386.416505854281,2.18162745987539,0.552788880039243,400.708431237182,380.665890060797,0.777195704884135,0.999999999968167,0.999999999999087,0.0183414782138146,380.666248977032,385.676884271128,8.33100626724179e-16,382.007637235018,0.67383844818052,387.173925074827,3.08016893063366,0.904247164773255
"YKayqpSUklwV5pOWAABe","Level1",380.666248977032,151.202876768852,147.082366230054,0.0207599153028828,0.0570036761807547,0.0738821017999058,0.0627411653939936,390.687519565225,6.23112165771523,0,162.015327197873,0.196308234873426,0.306740302858037,400.300293778898,380.257752602513,0.0100000010215706,0.999999998491939,0.999999999954012,0.617358069722465,380.666248977032,385.676884271128,2.94158156961657e-16,172.610751615178,4.86287361910504,167.693742735325,0.442662181030078,0.441496707875114
"06i_Cux84PGac8aqAAAA","Level2",380.666248977032,390.887671731292,390.823053896473,0.01,0.01,0.99,0.99,390.579592730224,2.40212245350365,0.0623177261102158,390.648939435745,3.93967509862066,0.053184245682837,398.822920933106,378.780379756721,0.949548423946339,0.0100000000130507,0.99999999999975,2.26474820571885,380.36258781329,385.373223107386,0.275846178705256,385.676884271128,2.32570100482786e-16,391.069085748093,9.61822462672957,0.195311333385301
"k-jbqaetGTrE-1e_AAAk","Level2",380.666248977032,286.840843067891,286.851464207142,0.99,0.99,0.433803555919913,0.433816281587429,390.687519565225,7.82463231709115,0,261.38942467606,0.167728239968324,0.126424227704154,399.833042552836,379.790501376451,1.11491712939024,0.237193553696819,0.6112524249993,0.010004022283375,380.666248977032,385.676884271128,2.80688524209542e-16,289.421386681966,2.92850397744914,275.772972509386,0.780951768434582,0.159519970121591
"c56kda3LQEpjIPm3AACE","Level2",380.666248977032,312.824999012638,311.08772072477,0.132765839884759,0.0748075227247249,0.490140959668727,0.450020725231276,390.687501325552,2.55070872616868,0.000542353702565586,273.057307530219,0.482421827345126,0.845980175440408,400.509535769399,380.466994593014,1.09815937791695,0.99982562297144,0.746079110289838,0.0102933305869164,380.666248977032,385.676884271128,2.45365808612382e-16,274.94145269221,3.07775829799145,268.815409730795,0.597454874784143,0.147066431673608
"62ksRmCUyOlOJWTQAAB2","Level2",380.666248977032,214.764626332951,213.761559421219,0.025325552659939,0.143730688774142,0.202870220666803,0.239427130576528,390.687519565225,6.79528644124139,0,230.993917557417,0.145657625351646,0.136713283922293,400.583048502767,380.540507326382,1.14137768779339,0.999511748361409,0.972749821463967,0.0100094125799716,380.666248977032,385.676884271128,2.59846094433857e-16,226.21011466829,3.7944990430553,247.841162472116,0.657647282459942,0.408086261178741
"90EJZg_2bJ92R8vmAAAa","Level2",380.666248977032,348.476621574421,349.739662223529,0.0798131106835381,0.200867258555649,0.612555491228228,0.618698883279836,384.858513418717,0.00788525112304551,0.00127423704414601,277.571960214855,0.13986165962997,0.127540554230323,377.572865903366,357.530324726981,1.07960893213628,0.398789955827143,0.360319263296666,0.135554545413914,380.666248977032,385.676884271128,2.43905404400506e-16,323.319511074769,2.18755486870047,288.751239595407,0.669936136101473,0.744449871102453
"Nsa2geNpUZ9ulTlKAABG","Level1",380.666248977032,331.806700531864,330.889633990128,0.99,0.99,0.593991857943085,0.588513128337574,382.326630992481,2.57203286447887,0.99,169.980118032337,0.0496713951524973,0.0743927863051517,397.158985538884,377.116444362499,0.977427246332368,0.0100000582032942,0.0114006931251328,0.0507649944340675,380.666248977032,385.676884271128,1.57214355366588e-16,351.535259341905,1.67064926070746,205.943048521342,0.423154588644315,0.32732651960798
"sgIt_KViZxGWuvbTAAB8","Level2",380.666248977032,342.608241365972,335.982876246932,0.01,0.01,0.54633643934758,0.4580590251447,390.687519565225,4.05593620652188,0,324.028801787202,0.0756427679564897,0.0330655631721559,400.625954867039,380.583413690654,1.04308536394341,0.99999681009536,0.271830977007674,0.0100052528115467,380.666248977032,385.676884271128,5.74168653082564e-16,366.12530315497,1.22016608687099,343.054540196946,1.14427144130401,0.58246551011689
"eJ5xg-wBh5lN4PNyAABi","Level1",380.666248977032,115.643046373708,102.154892888956,0.173598529373674,0.18112955932082,0.0898311716017317,0.0530056806912281,390.687519565225,5.94317203472861,0,119.496717281534,0.0659626615872472,0.148403063947275,397.405320549117,377.362779372732,0.0100000000289847,0.999999999843593,0.999999999968605,1.81545989243831,380.666248977032,385.676884271128,1.96687929251373e-16,99.8592087874282,8.59678190086621,130.06575845762,0.306895158595742,0.462368301224872
